cid,claim_text,pid,perspective_text,stance_annotation,relevance_annotation
869,Children Should Have The Right To Vote In Elections,25672,Sixteen years would be a better option in developed countries,,
816,We have lost the true meaning of Christmas,6552,Christmas is more important than presents!,,
292,The world has to ignore North Korean provocations,22945,Media attention only encourages North Korean provocations.,,
246,The northern Ireland would be better off if united with the Republic of Ireland,1818,Unification would be damaging for the economies of both parts of Ireland,,
616,Companies should provide alternative interview methods,5114,Can't get a realistic impression of a person in such a short space of time.,,
753,We should show more compassion to drug addicts,6205,We should obviously not like drug users,,
184,Animal testing should be banned.,4530,Animal testing has contributed to many life-saving cures and treatments.,,
513,Raise The School Leaving Age To 18,3798,Raising the school learning age promotes equal opportunities,,
423,The EU should engage in further enlargement,3152,Expansion will create conflicts of interest between members.,,
184,Animal testing should be banned.,4540,Some cosmetics and health care products must be tested on animals to ensure their safety.,,
563,Golf is a Sport,24542,Golf does not have the physical rigors that sports do.,,
699,Children should be banned from watching shows that contain violence and other adult contents,5805,"Violent or sexual programming has no intrinsic worth beyond the entertainment it provides. Even if the harms are small, why should we accept them?",,
704,Accessing your spouse’s email account hacking,5852,Getting married is supposed to involve sharing your life with somebody,,
386,The US should have done more for Darfur,23409,Intervention would affect the existing peace deal. ,,
848,The USA Legal Drinking Age Should Be Lowered to 18 From 21,25344,Lowering the drinking age would allow younger people to go to more unsafe places.,,
561,Compensation should be paid for those who have had their culture appropriated,4133,Compensation has the potential to reverse damaged caused by Cultural Appropriation.,,
1,The use of child performers should be banned,20810,Exposing children to performance pressure is unethical.,,
370,The United States should ban assault weapons,4844,The presence of a gun makes a conflict more likely to become violent.,,
304,People should have the right to die,2250,"Medical science allows us to control death, suicide and euthanasia are sensible corollaries to that.",,
180,Traditional university has to be replaced by online learning,1343,Online courses undermine live communication with professors and other students,,
921,Animal testing for medical research should be allowed.,22164,Animals are treated well during animal testing. ,,
10,It is important to use a graduated response to combat unauthorised file-sharing of copyrighted material,20921,Government intrusion via the graduate response policy violates privacy.,,
744,The glass ceiling for women still exists,26166,Males still hold the majority of high positions. ,,
802,Developed Countries Should Accept More Refugees,6482,It's what our country was built on,,
576,The federal minimum wage should be increased,24841,Increasing the minimum wage will take away jobs from service employees.,,
71,The 2022 Football World Cup must be moved to the winter,534,A sporting event in the heat of a desert summer will not be a pleasant experience for the fans,,
107,Hate crime 'enhancements' are unjust,790,Hate crime enhancements are an attack on free speech,,
191,Teachers must be banned from interacting with students via social networking websites.,4755,Using social media can harm students' chances for college admission.,,
29,Capitalism is better than socialism,22605,Socialism is no longer seen as a viable option and even the Left has accepted that Capitalism is a better system.,,
487,A permanent UNSC seat with veto power must be reserved to an African country,3616,An African voice would change priorities for the better,,
809,DNA testing is worth the money,26386,There is no regulations and the results are unreliable for DNA testing companies.,,
450,Ghana’s ban on smoking in public places is a model for Africa,26612,It is not right to ban smoking.,,
585,Social networking sites are good for our society,25172,Teachers are able to collaborate with one another using social media.,,
848,The USA Legal Drinking Age Should Be Lowered to 18 From 21,4915,MLDA 21 exerts valuable social pressure on potential underage drinkers and those who may serve them.,,
585,Social networking sites are good for our society,4753,Social media can facilitate inappropriate student-teacher relationships.,,
820,"Use of goal line technology in football is overdue, and can only lead to benefits.",6587,It would be divisive.,,
84,Governments should prioritise spending money on youth,21461,An age group should not be the priority of the goverment.,,
586,Students should have to wear school uniforms,4775,The key findings used to tout the benefits of uniforms are questionable.,,
564,The United States should continue Its use of drone strikes abroad,24580,Unmanned drone attacks may harm innocent civilians.,,
60,We must support public service broadcasters,21251,PBS is always asking for money.,,
920,"Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government",7396,"What the governmental machine can’t, society through charities can",,
808,Television is one of the most effective mediums through which to teach and inspire youngsters,6509,"The ESSA and Virtual academies are perfect examples of how television, specifically can prove useful to students of all ages",,
747,Romeo and Juliet do promote knife crime,6152,Modern teenagers do not relate to Shakespearian plays ,,
685,Reality TV has gone too far,6476,Reality TV shows bring out the worse in people.,,
83,Gender quotas in the EU are advantageous for the economies of member states,21472,We should not try to fix what isn't broken and what is fixing itself.,,
698,A celebrity would make a good minister,25983,Celebrities only think about themselves,,
297,Lesotho should be annexed by South Africa,22997,South Africa should not get involved with an underdeveloped country,,
366,We should allow death penalty for the worst of the worst criminals,23024,It's a financial loss to the state enforcing the death penalty.,,
956,Gender Equality is Treating Men and Women in the Same Way,5452,Positive discrimination towards women should not be allowed,,
799,Religious education Should be a part of the School curriculum,6468,"RE helps to challenge misconceptions, prejudice and ignorance which can divide society.",,
676,Public high school students in the United States ought not be required to pass standardized exit exams to graduate,3711,Standardized tests are arbitrary,,
633,States ought not possess nuclear weapons,1570,Public acknowledgement of the right to nuclear deterrence will benefit the public regulation of nuclear weapons generally,,
556,Create a National High Speed Rail System in the U.S.,4091,High Speed Rail is Dangerous,,
124,Playoffs must be implemented in collegiate level american football,912,Banning Playoffs Offer Greater Fairness,,
512,People should have a right to private education,6678,It creates stereotypes and tensions within society,,
260,Abolish the US Electoral College,1921,"The electoral college forces candidates to win broad coalitions across the country, encouraging national harmony.",,
79,South Ossetia should be independent,582,South Ossetia has a right to self-determination ,,
242,Grant politicians immunity from prosecution,1789,The ability to prosecute politicians is the ultimate protection against the abuse of power.  ,,
355,Treat the desecration and destruction of high-value sites and property of cultural heritage as a crime against humanity,2648,Making destruction of cultural property a crime against humanity would ensure it is protected.,,
73,Positive discrimination must be used to put more women in parliament,5455,"It is Men, Not Women, who are Disadvantaged in our Society",,
357,Create an African Criminal Court,2689,ICC treats Africa differently,,
994,Poorer Countries Should Abandon Free Trade Agreements,20852,Aid is less dangerous than free trade.,,
589,More gun control laws should be enacted,4836,High-capacity magazines should be banned because they too often turn murder into mass murder.,,
